salary_id,employee_id,salary_date,base_salary,bonus,increment_percentage,total_salary
SAL00001,EMP0001,2023-02-15,16841.0,263,0,17104.0
SAL00002,EMP0001,2025-02-15 00:00:00,18356.69,436,9,18792.69
SAL00003,EMP0001,2027-02-15 00:00:00,19458.09,2016,6,21474.09
SAL00004,EMP0002,2021-07-05,6188.0,765,0,6953.0
SAL00005,EMP0003,2012-01-27,6802.0,678,0,7480.0
SAL00006,EMP0003,2013-01-27 00:00:00,7414.18,171,9,7585.18
SAL00007,EMP0003,2014-01-27 00:00:00,7636.61,930,3,8566.61
SAL00008,EMP0004,2021-11-21,13566.0,644,0,14210.0
SAL00009,EMP0004,2023-11-21 00:00:00,14515.62,1360,7,15875.62
SAL00010,EMP0005,2017-02-11,3794.0,530,0,4324.0
SAL00011,EMP0005,2018-02-11 00:00:00,3983.7,180,5,4163.7
SAL00012,EMP0006,2018-11-03,9020.0,670,0,9690.0
SAL00013,EMP0006,2019-11-03 00:00:00,9651.4,22,7,9673.4
SAL00014,EMP0006,2020-11-03 00:00:00,10133.97,1325,5,11458.97
SAL00015,EMP0007,2013-11-26,7200.0,125,0,7325.0
SAL00016,EMP0007,2014-11-26 00:00:00,7920.0,737,10,8657.0
SAL00017,EMP0007,2016-11-26 00:00:00,8157.6,272,3,8429.6
SAL00018,EMP0008,2017-04-25,6032.0,794,0,6826.0
SAL00019,EMP0008,2019-04-25 00:00:00,6574.88,982,9,7556.88
SAL00020,EMP0009,2018-06-13,11061.0,622,0,11683.0
SAL00021,EMP0009,2020-06-13 00:00:00,11503.44,870,4,12373.44
SAL00022,EMP0010,2025-11-09,22982.0,1090,0,24072.0
SAL00023,EMP0010,2026-11-09 00:00:00,24360.92,3029,6,27389.92
SAL00024,EMP0010,2028-11-09 00:00:00,26553.4,3215,9,29768.4
SAL00025,EMP0011,2023-06-23,8646.0,865,0,9511.0
SAL00026,EMP0011,2025-06-23 00:00:00,9510.6,1300,10,10810.6
SAL00027,EMP0012,2019-05-19,14874.0,865,0,15739.0
SAL00028,EMP0013,2015-08-05,5587.0,25,0,5612.0
SAL00029,EMP0013,2016-08-05 00:00:00,6033.96,749,8,6782.96
SAL00030,EMP0013,2018-08-05 00:00:00,6335.66,285,5,6620.66
SAL00031,EMP0014,2015-12-20,7968.0,983,0,8951.0
SAL00032,EMP0014,2016-12-20 00:00:00,8286.72,787,4,9073.72
SAL00033,EMP0014,2017-12-20 00:00:00,9032.52,365,9,9397.52
SAL00034,EMP0015,2013-11-26,15979.0,1573,0,17552.0
SAL00035,EMP0015,2015-11-26 00:00:00,16937.74,1337,6,18274.74
SAL00036,EMP0016,2012-09-26,29282.0,1394,0,30676.0
SAL00037,EMP0016,2013-09-26 00:00:00,30746.1,4469,5,35215.1
SAL00038,EMP0016,2015-09-26 00:00:00,33205.79,1817,8,35022.79
SAL00039,EMP0017,2024-04-26,8728.0,348,0,9076.0
SAL00040,EMP0017,2026-04-26 00:00:00,9251.68,630,6,9881.68
SAL00041,EMP0017,2027-04-26 00:00:00,10176.85,540,10,10716.85
SAL00042,EMP0018,2021-02-03,27665.0,215,0,27880.0
SAL00043,EMP0019,2025-02-06,29424.0,2169,0,31593.0
SAL00044,EMP0019,2026-02-06 00:00:00,31777.92,497,8,32274.92
SAL00045,EMP0020,2013-02-09,6242.0,210,0,6452.0
SAL00046,EMP0020,2015-02-09 00:00:00,6491.68,201,4,6692.68
SAL00047,EMP0020,2016-02-09 00:00:00,6751.35,69,4,6820.35
SAL00048,EMP0021,2022-08-27,15494.0,757,0,16251.0
SAL00049,EMP0022,2017-04-23,30443.0,3630,0,34073.0
SAL00050,EMP0022,2018-04-23 00:00:00,33182.87,2410,9,35592.87
SAL00051,EMP0023,2020-06-18,14685.0,1199,0,15884.0
SAL00052,EMP0023,2021-06-18 00:00:00,15712.95,1896,7,17608.95
SAL00053,EMP0023,2022-06-18 00:00:00,16812.86,409,7,17221.86
