review_id,employee_id,review_date,rating,kpi_score,performance_level,reviewer,comments
REV00001,EMP0001,2024-02-15,4,87,Exceeds Expectations,HR Department,Score section would still live even.
REV00002,EMP0001,2025-02-15,4,82,Exceeds Expectations,HR Department,Why east your push street group.
REV00003,EMP0002,2022-07-05,5,91,Outstanding,Department Manager,Spring seem college nor with.
REV00004,EMP0002,2023-07-05,1,50,Poor,HR Department,Rather and shoulder suffer action staff idea.
REV00005,EMP0002,2024-07-05,3,72,Meets Expectations,Department Manager,Magazine nation impact their writer.
REV00006,EMP0002,2025-07-05,2,69,Needs Improvement,Department Manager,Study we term cold until.
REV00007,EMP0003,2013-01-27,5,94,Outstanding,Department Manager,Military likely make contain.
REV00008,EMP0003,2014-01-27,5,97,Outstanding,Department Manager,Help make floor lead special reveal.
REV00009,EMP0004,2022-11-21,2,61,Needs Improvement,HR Department,Ready lay policy beyond consumer dark.
REV00010,EMP0004,2023-11-21,1,42,Poor,HR Department,Experience state type reality operation chair drop.
REV00011,EMP0004,2024-11-21,1,57,Poor,HR Department,Speak we too dinner media.
REV00012,EMP0005,2018-02-11,4,81,Exceeds Expectations,Team Lead,Shoulder social well card local determine.
REV00013,EMP0005,2019-02-11,3,71,Meets Expectations,HR Department,Camera perhaps meeting special.
REV00014,EMP0005,2020-02-11,4,83,Exceeds Expectations,HR Department,Behind to leg car his forward almost.
REV00015,EMP0005,2021-02-11,4,85,Exceeds Expectations,Team Lead,Politics draw oil rise election choice write save.
REV00016,EMP0006,2019-11-03,4,80,Exceeds Expectations,HR Department,Beyond himself middle western six idea.
REV00017,EMP0006,2020-11-03,3,75,Meets Expectations,Department Manager,Own nothing site call seek power white.
REV00018,EMP0006,2021-11-03,5,99,Outstanding,HR Department,Republican couple that.
REV00019,EMP0006,2022-11-03,4,81,Exceeds Expectations,HR Department,Political special source decade.
REV00020,EMP0007,2014-11-26,3,73,Meets Expectations,Department Manager,Ahead well enjoy help create standard.
REV00021,EMP0007,2015-11-26,5,99,Outstanding,Team Lead,Relationship people possible fear.
REV00022,EMP0008,2018-04-25,3,73,Meets Expectations,HR Department,Move character campaign focus draw week according power.
REV00023,EMP0008,2019-04-25,4,82,Exceeds Expectations,Team Lead,Cold suggest business everybody care.
REV00024,EMP0008,2020-04-25,4,84,Exceeds Expectations,HR Department,Claim court responsibility.
REV00025,EMP0008,2021-04-25,4,83,Exceeds Expectations,Team Lead,Recognize writer pressure bar long.
REV00026,EMP0009,2019-06-13,4,85,Exceeds Expectations,HR Department,Although actually design soldier south.
REV00027,EMP0009,2020-06-13,2,61,Needs Improvement,HR Department,Well as state visit western let clearly game.
REV00028,EMP0010,2026-11-09,5,99,Outstanding,HR Department,Address decide forward technology growth.
REV00029,EMP0010,2027-11-09,3,71,Meets Expectations,Department Manager,Born support probably machine.
REV00030,EMP0011,2024-06-23,4,84,Exceeds Expectations,Team Lead,Interview art second.
REV00031,EMP0011,2025-06-23,5,91,Outstanding,HR Department,Difference event performance wife wide apply.
